tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P2_EXTERNAL_MATCH_FRIENDLY,墓地的沉默.md,WL-WORK-0223,墓地的沉默,Jar City,阿尔纳尔杜尔·因德里达松,Arnaldur Indriðason,,,CANDIDATE,2005,T6,HIGH,Jar City,Arnaldur Indriðason,/works/OL7923005W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,大地惊雷.md,WL-WORK-2493,大地惊雷,True Grit,查尔斯·波蒂斯,Charles Portis,,,CANDIDATE,1968,T5,HIGH,True Grit,Charles Portis,/works/OL104535W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,大天空.md,WL-WORK-2494,大天空,The Big Sky,A.B.格思里,A.B. Guthrie Jr.,,,CANDIDATE,1947,T5,HIGH,The big sky,A. B. Guthrie,/works/OL2944435W,1.000,0.900,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,大鼻子情圣.md,WL-WORK-2497,大鼻子情圣,Cyrano de Bergerac,埃德蒙·罗斯丹,Edmond Rostand,,,CANDIDATE,1821,T3,HIGH,Cyrano de Bergerac,Edmond Rostand,/works/OL551668W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,天鹅之歌.md,WL-WORK-0063,天鹅之歌,Swan Song,埃德蒙·克里斯平,Edmund Crispin,,,CANDIDATE,1947,T5,HIGH,Swan song,Edmund Crispin,/works/OL3926776W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,少雨之地.md,WL-WORK-2508,少雨之地,The Land of Little Rain,玛丽·奥斯汀,Mary Austin,,,CANDIDATE,1903,T4,HIGH,The Land of Little Rain,Mary Austin,/works/OL1917146W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,尸体会说话.md,WL-WORK-0121,尸体会说话,Postmortem,帕特里夏·康威尔,Patricia Cornwell,,,CANDIDATE,1990,T6,HIGH,Postmortem,Patricia Cornwell,/works/OL134383W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,帽子戏法之死.md,WL-WORK-0067,帽子戏法之死,Death from a Top Hat,克莱顿·罗森,Clayton Rawson,,,CANDIDATE,1962,T5,HIGH,Death from a top hat,Clayton Rawson,/works/OL4993592W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,废墟.md,WL-WORK-0688,废墟,The Ruins,斯科特·史密斯,Scott Smith,,,CANDIDATE,2005,T6,HIGH,The Ruins,Scott Smith,/works/OL6218186W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,弗吉尼亚人.md,WL-WORK-2518,弗吉尼亚人,The Virginian,欧文·威斯特,Owen Wister,,,CANDIDATE,1902,T4,HIGH,The Virginian,Owen Wister,/works/OL106175W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,弗拉卡斯上尉.md,WL-WORK-2519,弗拉卡斯上尉,Le Capitaine Fracasse,泰奥菲尔·戈蒂耶,Théophile Gautier,,,CANDIDATE,1874,T3,HIGH,Le capitaine Fracasse,Théophile Gautier,/works/OL39238245W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,归乡.md,WL-WORK-1101,归乡,Homegoing,雅·吉亚西,Yaa Gyasi,,,CANDIDATE,2016,T6,HIGH,Homegoing,Yaa Gyasi,/works/OL17795349W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,拉莫娜.md,WL-WORK-2528,拉莫娜,Ramona,海伦·亨特·杰克逊,Helen Hunt Jackson,,,CANDIDATE,1884,T3,HIGH,Ramona,Helen Hunt Jackson,/works/OL1800220W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,指匠迷案.md,WL-WORK-0136,指匠迷案,An Instance of the Fingerpost,伊恩·皮尔斯,Iain Pears,,,CANDIDATE,1997,T6,HIGH,An Instance of the Fingerpost,Iain Pears;Iain Pears,/works/OL1900868W,1.000,1.000,Open Library first_publish_year candidate
