tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,ol_year,ol_t,ol_title,ol_authors,wd_status,resolution_status,chosen_t,canonical_year_candidate,year_action,resolution_reason,wd_error
P2_EXTERNAL_MATCH_FRIENDLY,A Long Way Gone.md,WL-WORK-1935,A Long Way Gone,,伊斯梅尔·比亚,Ishmael Beah,,,batch5_source_refs,WL-TOPIC-Q6-WAR,2007,T6,A Long Way Gone,Ishmael Beah,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Man Called Horse.md,WL-WORK-2156,A Man Called Horse,,多萝西·M.约翰逊,Dorothy M. Johnson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,,,,,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A New Voyage Round the World.md,WL-WORK-0490,A New Voyage Round the World,,威廉·丹皮尔,William Dampier,,,batch1_source_refs;batch6_source_refs,WL-TOPIC-G45-ADVENTURE;WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE,1697,T2,A New Voyage Round the World,William Dampier;Nicholas Thomas,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,2018,T6,A princess in theory,Alyssa cole,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,,batch5_source_refs,WL-TOPIC-Q6-WAR,1977,T5,A rumor of war,Philip Caputo,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Small Place.md,WL-WORK-1343,A Small Place,,牙买加·金凯德,Jamaica Kincaid,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,1988,T6,A small place,Jamaica Kincaid;Robin Miles,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Time of Gifts.md,WL-WORK-1344,A Time of Gifts,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,1977,T5,A Time of Gifts,Patrick Leigh Fermor,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,A Woman's Journey Round the World.md,WL-WORK-1345,A Woman's Journey Round the World,,伊达·普费弗尔,Ida Pfeiffer,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,1852,T3,A Woman's Journey Round the World,Ida Pfeiffer,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Agents of Dreamland.md,WL-WORK-0491,Agents of Dreamland,,凯特琳·R.基尔南,Kiernan,,,batch1_source_refs,WL-TOPIC-G45-HORROR,,,Agents of Dreamland,Caitlín R. Kiernan,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
P2_EXTERNAL_MATCH_FRIENDLY,Almanac of the Dead.md,WL-WORK-2159,Almanac of the Dead,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,,,Almanac of the Dead,Leslie Silko,ERROR,REVIEW,,,LEAVE_BLANK,Wikidata 无可靠作品级 P577+P50 匹配,HTTPError
