届次数字,届次,评选作品时间范围,届内序号,奖项类型,作品名称,作者,出版单位,来源URL
3,第三届,1985—1988,5,正式获奖,穆斯林的葬礼,霍达,北京十月文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
3,第三届,1985—1988,6,荣誉奖,浴血罗霄,萧克,解放军文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
3,第三届,1985—1988,7,荣誉奖,金瓯缺,徐兴业,海峡文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
4,第四届,1989—1994,1,正式获奖,战争和人（一、二、三）,王火,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
4,第四届,1989—1994,2,正式获奖,白鹿原（修订本）,陈忠实,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
4,第四届,1989—1994,3,正式获奖,白门柳（一、二）,刘斯奋,中国青年出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
4,第四届,1989—1994,4,正式获奖,骚动之秋,刘玉民,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
5,第五届,1995—1998,1,正式获奖,抉择,张平,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
5,第五届,1995—1998,2,正式获奖,尘埃落定,阿来,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
5,第五届,1995—1998,3,正式获奖,长恨歌,王安忆,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
5,第五届,1995—1998,4,正式获奖,茶人三部曲（一、二）,王旭烽,浙江文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
6,第六届,1999—2002,1,正式获奖,张居正,熊召政,长江文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
6,第六届,1999—2002,2,正式获奖,无字,张洁,北京十月文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
6,第六届,1999—2002,3,正式获奖,历史的天空,徐贵祥,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
6,第六届,1999—2002,4,正式获奖,英雄时代,柳建伟,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
6,第六届,1999—2002,5,正式获奖,东藏记,宗璞,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
7,第七届,2003—2006,1,正式获奖,秦腔,贾平凹,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
7,第七届,2003—2006,2,正式获奖,额尔古纳河右岸,迟子建,北京十月文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
7,第七届,2003—2006,3,正式获奖,湖光山色,周大新,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
7,第七届,2003—2006,4,正式获奖,暗算,麦家,世界知识出版社、人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
8,第八届,2007—2010,1,正式获奖,你在高原,张炜,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
8,第八届,2007—2010,2,正式获奖,天行者,刘醒龙,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
8,第八届,2007—2010,3,正式获奖,蛙,莫言,上海文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
8,第八届,2007—2010,4,正式获奖,推拿,毕飞宇,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
